website,suburb,company,phone,state,street,postcode
,Hurstville,Auskim Real Estate,0405696020,NSW,11-17 Woodville St,2220
http://www.webstercavanagh.com.au,Toowoomba City,Webster Cavanagh,07 46325806,QLD,Suite 9 ‘Webster Place’ 190 Margaret Street,4350
,West End,Drakos Real Estate,07 3844 1781,QLD,69 Russell Street,4101
http://www.eerealestate.com.au,Alexandria,Ee Real Estate,02 9699 8388,NSW,16/17-21 Bowden Street,2015
http://www.jasonrealestate.com.au,Tullamarine,Jason Real Estate,0393386411,VIC,201B Melrose Drive,3043
http://www.nimbinhills.com.au/,Nimbin,Nimbin Hills Real Estate,02 66891498,NSW,74A Cullen Street,2480
http://www.raywhitegladstonepark.com.au,Gladstone Park,Ray White Gladstone Park,0411 504 016,VIC,Shop 159 Gladstone Park Shopping Centre,3043
http://www.commercial.net.au,Bankstown,Commercial Property Group,1300 811881,NSW,"Level 3, 56 Kitchener Parade",2200
http://www.uniqueestates.com.au,Dawes Point,Unique Estates Dawes Point,02 9252 2221,NSW,6/16 Hickson Rd,2000
http://sydneycitysouth.eldersrealestate.com.au/,Chippendale,Elders Real Estate Sydney City South,02 9699 5036,NSW,99 Regent Street,2008
http://bbsc.ljhooker.com.au,Ultimo,LJ Hooker Business Broking Sydney Central,02 9552 1111,NSW,Suite 333/71 Jones Street,2007
http://www.century21.com.au/owenodonnell/,Condell Park,Century 21 Condell Park,02 9708 1166,NSW,7/63 Simmatt Avenue,2200
http://www.warnrealestate.com.au/,Lugarno,Warn Commercial Real Estate,(02) 95337188,NSW,1/16 Lime Kiln Rd,2210
http://www.cbpb.com.au,Palm Beach,Coldwell Banker Palm Beach,07 5598 1000,QLD,1176 Gold Coast Highway,4221
,Sans Souci,Johnson Property Agents,02 9188 4422,NSW,Shop 1/347 Rocky Point Road,2219
http://www.morton.com.au,Riverwood,Morton Real Estate - Riverwood,02 84249900,NSW,Shop 1/ 5 Vermont Crescent,2210
http://www.cjcrealestate.com,Padstow,CJ Crescini Real Estate,02 80016362,NSW,PO BOX 848,2211
http://www.benchmarknational.com.au,Revesby,Benchmark National Revesby,02 9772 3311,NSW,36 Salems Parade,2212
