website,src,suburb,company,phone,state,street,postcode,email
https://www.alphacbr.com.au/,,Philip,Alpha Residential Property,(02) 6282 6127,,2a/62-64 Colbee Court,,
http://www.ashbypartners.com.au/,,,Ashby Partners Real Estate,0408 240 044,,,,
http://www.australisrealty.com.au/,,Philip,Australis Realty,(02) 6161 7827,,2a/62-64 Colbee Court,,
https://www.belleproperty.com/kingston/,,Kingston,Belle Property Kingston,(02) 6295 9911,,"103 Quayside, 50 Eastlake Parade",,
https://www.bertramellis.com.au/,,Chapman,Bertram Ellis,(02) 6288 6277,,7/58 Perry Drive,,
https://www.blewittproperties.com.au/,,Fyshwick,Blewitt Properties Pty LTD,(02) 6280 8808,,10/51-55 Kembla Street,,
http://www.borisproperty.com.au/,,Manuka,BORIS.,0402 907 182,,19/11 Bougainville Street,,
http://www.brightpartners.com.au/,,Manuka,Bright Partners,(02) 6239 4555,,Suite 8/18 Bougainville Street,,
https://www.burgessrawson.com.au/,,Kingston,Burgess Rawson Canberra,(02) 6152 9113,,"Suite 152, Level 1, 41 Eastlake Parade",,
https://www.cbre.com.au/,,Braddon,CB Richard Ellis (ACT),(02) 6232 2733,,"Level 4, 92 Northbourne Avenue",,
https://www.civium.com.au/,,Philip ACT,Civium Property Group,(02) 6162 0681,,17-23 Townshend Street,,
http://www.colliers.com.au/,,City,Colliers International (ACT),(02) 6257 2121,,21-23 Marcus Clarke Street,,
http://www.creamresidential.com.au/,,Hughes,Cream Residential Pty Ltd,(02) 6281 0822,,1/2 Hughes Place,,
http://www.envogue.com.au/,,Dickson,En Vogue Property Management,(02) 6161 6516,,Level 1/55 Woolley Street,,
http://francispiresrealestate.com.au/,,Forrest,Francis Pires Real Estate,(02) 6295 3388,,10/37 Dominion Circuit,,
http://belconnen.harcourts.com.au/,,Belconnen,Harcourts Belconnen,(02) 6151 0102,,"1/21 Lakeview Square, Building 2, Benjamin Way",,
http://www.homefinders.net.au/,,Campbell,Home Finders,(02) 6248 0000,,1/24 Blamey Crescent,,
http://www.homebyholly.com.au/,,,home.byholly,0434 973 987,,,,
http://impactproperties.com.au/,,Bonner,Impact Properties Gungahlin,0416 135 270,,120 Ida West Street,,
http://www.impactpm.com.au/,,Mawson,Impact Property Management,(02) 6162 1908,,"Unit 1, 37-41 Heard Street",,
https://www.independent.com.au/,,Turner,Independent Property Group,(02) 6209 1550,,"Ground Floor, Unisys Building, 91 Northbourne Avenue",,
https://www.independent.com.au/,,Belconnen,Independent Property Group Belconnen,(02) 6209 4444,,11-17 Swanson Court,,
https://www.independent.com.au/,,Turner,Independent Property Group City & Inner North,(02) 6209 1700,,"Unit 19, The Avenue, 77 Northbourne Avenue",,
https://www.independent.com.au/,,Gungahlin Town Centre,Independent Property Group Gungahlin Town Centre,(02) 6209 9666,,2/24 Ernest Cavanagh Street,,
