website,suburb,company,phone,state,street,postcode,email
http://www.altitudemanagementnt.com.au,,Altitude Management NT,08 8947 3944,NT,28/60 WINNELLIE RD,0820,admin@altitudemanagementnt.com.au
http://www.allrealestatent.com.au,MARLOW LAGOON,All Real Estate NT,08 8932 1554,NT,3 WALER RD,0830,admin@allrealestatent.com.au
http://www.alliancerealty.com.au,LARRAKEYAH,Alliance Realty,08 8982 8282,NT,153 MITCHELL ST,0820,sales@alliancerealty.com.au
http://advancedresidential.com.au,MOIL,Advanced Residential,08 8947 9177,NT,78 BYRNE ST,0810,admin@advancedresidential.com.au
http://www.absolutent.com.au,WINNELLIE,Absolute Real Estate NT,08 8930 6600,NT,30/119 REICHARDT RD,0820,reception@absolutent.com.au
,DARWIN,Above & Beyond Property Management,08 7979 1951,NT,T100/130 ESPLANADE,0800,kate@aboveandbeyondnt.com.au
http://www.aboutrealestatent.com.au,,About Real Estate,08 8941 2336,,,,mandy@aboutrent.com.au
http://www.abode4me.com.au,HOLTZE,Abode Property Management,08 8932 7777,NT,1/15 BUTLER PL,0829,rentals@abode4me.com.au
http://www.castlerealestate.com.au,DURACK,Castle Real Estate,08 8932 8658,NT,15 CROWSON CL,0830,admin@castlerealestate.com.au
,EVOLUTION ON GARDNINER ST DARWIN,David Booth Real Estate,1800 800 234,NT,FOYER,0800,david@davidbooth.com.au
http://www.framptons.com.au,ALICE SPRINGS,Framptons First National,08 8952 7833,NT,1/78 HARTLEY ST,0870,framptons@framptons.com.au
/www.killarneyre.com.au,TIVENDALE,Killarney Real Estate,08 8931 1183,NT,1-15 FOWLESTONE RD,0821,rentals@killarneyre.com.au
http://www.northcommercial.com.au,STUART PARK,North Commercial NT,08 8981 1088,NT,12/90 FRANCES BAY DR,0820,reception@northcommercial.com.au
http://www.recentral.com.au,,Real Estate Central Projects,08 8944 4555,,,,projects2@recentral.com.au
http://venturehousing.org.au/,CENTREPOINT BUSINESS CENTRE PASPALIS CENTRE 48-50 SMITH STREET MALL DARWIN,Venture Housing Company,08 8981 9804,NT,LEVEL 1,0800,admin@venturehousing.org.au
http://urbex.com.au,DARWIN,Urbex Real Estate,08 8930 4444,NT,18 CAVENAGH ST,0801,info@urbex.com.au
http://www.upnextrealestate.com.au,,UpNext Real Estate,08 8941 1970,,,,pilar@upnextrealestate.com.au
http://www.unitedrealtynt.com.au,PARAP,United Realty NT,08 8981 2666,NT,6/36 PARAP RD PARAP SHOPPING VLGE,,info@unitedrealtynt.com.au
,MUIRHEAD,Top End Real Estate,0421037034,NT,17 NEWMARCH ST,0810,may@topendre.com.au
http://www.thrivepropertynt.com.au,ROSEBERY,Thrive Property NT,08 8911 0741,NT,UNIT 4C 174 FORREST PDE,0830,belinda@thrivepropertynt.com.au
http://www.tanamiruralproperty.com.au,,Tanami Rural Property,0409 987 436,,,,sue@tanamiruralproperty.com.au
http://www.stockdaleleggo.com.au,DARWIN,Stockdale & Leggo Darwin,08 8941 3222,NT,SHOP 3 44 CAVENAGH ST,0800,reception@reint.com.au
,GUNN,Stefani Raines Property Management,0447263937,NT,1 DAVENPORT CT,0832,stefani@stefanirainesproperty.com
http://www.territoryrural.com.au,HUMPTY DOO,"Ruralco Property, Territory Rural",08 89 880 555,,1 ARNHEM HWY,0836,darwin@ruralco.com.au
http://www.resortbrokers.com.au,,Resort Brokers,07 3878 3999,,X,,info@resortbrokers.com.au
http://www.resortbrokers.com.au,,Resort Brokers,07 3878 3999,,X,,info@resortbrokers.com.au
http://www.resortbrokers.com.au,,Resort Brokers,07 3878 3999,,X,,info@resortbrokers.com.au
http://www.resortbrokers.com.au,,Resortbrokers,07 3878 3999,,X,,info@resortbrokers.com.au
