company,phone,postcode,street,suburb,website
4one4 Real Estate,(03) 6273-7414,7010,414 Main Road,Glenorchy,http://www.4one4realestate.com.au/
Australian Institute of Conveyancers (Tas),(03) 6224-1100,7000,Shop 1 179 Liverpool Street,Hobart,http://www.aicnational.com.au/contact/tasmania
Alan Moane Real Estate,0408124495,7050,47 Balmoral Road,Kingston Beach,http://www.alanmoanere.com.au
Baxton Property Management,(03) 6220-1900,7005,147 Sandy Bay Road,Sandy Bay,http://www.baxton.me/
Charlotte Peterswald for Property Sales,(03) 6224-7090,7004,24/93 Salamanca Place,Battery Point,http://www.charlottepeterswald.com.au/
Charlotte Peterswald Property Management,(03) 6224-0823,7005,14 Magnet Court,Sandy Bay,http://www.cppm.com.au/
Creese Property Consultants,(03) 6244-6111,7018,39 Cambridge Road,Bellerive,http://www.creeseproperty.com
Curo Property Services Pty Ltd,0417 526 101,7001,GPO Box 305,Hobart,
Crowther Richards Real Estate,(03) 6228-0988,7008,157 New Town Road,New Town,http://www.crowtherrichards.com.au
Derwent Real Estate,(03) 6261-4222,7140,73 High Street,New Norfolk,http://www.derwentrealestate.com.au/
Devine Property,(03) 6238-4800,7000,119 Harrington Street,Hobart,http://www.devineproperty.com.au
Downton Property,(03) 6105-0454,7000,180 Campbell Street,Hobart,http://www.downtonproperty.com.au/
Edwards Windsor Real Estate,(03) 6234-5500,7000,Level 2 89 Brisbane Street,Hobart,http://www.edwardswindsor.com.au
EIS Property Management,(03) 6232-4999,7000,229 Elizabeth Street,Hobart,http://www.eisproperty.com.au
Elders Brown & Banks,(03) 6231-0400,7000,141 Murray Street,Hobart,http://www.elders.com.au/brownbanks
Elders Kingborough,(03) 6267-2556,7054,"Shop 1, 1726 Channel Highway",Margate,http://kingborough.eldersrealestate.com.au
Exceed Property,0429 707 911,7025,8 Bathurst Street,Richmond,http://www.exceedproperty.com.au
Fall Real Estate,(03) 6234-7033,7000,370 Elizabeth Street,Hobart,http://www.fall.com.au
Fall Real Estate,(03) 6247-3022,7018,4 Howrah Road,Howrah,http://www.fall.com.au
Fall Real Estate,(03) 6243-1353,7015,37 Lincoln Street,Lindisfarne,http://www.fall.com.au
Fall Real Estate,(03) 6225-4000,7005,531 Sandy Bay Road,Sandy Bay,http://www.fall.com.au
Fall Real Estate,(03) 6229-2960,7050,2 Windsor Street,Kingston Beach,http://www.fall.com.au
Fall Real Estate,(03) 6248-7666,7021,456 South Arm Road,Lauderdale,http://www.fall.com.au
First National Elite Bellerive,(03) 6244-3030,7018,11 Percy Street,Bellerive,http://www.fnelite.com.au/
First National Elite Brighton,(03) 6268-0788,7030,2 Elderslie Road,Brighton,http://www.fnelite.com.au/
First National Kingston,0400 339 054,7050,2/16 Freeman Street,Kingston,http://www.fnkingston.com.au/
First National McGregor,(03) 6278-2666,7009,83 Main Road,Moonah,http://www.mcgregorfn.com/
Harcourts Hobart/Sandy Bay,(03) 6220-9100,7000,32-34 Sandy Bay Road,Hobart,http://www.harcourtstasmania.com.au
Harcourts Huon Valley,(03) 6264-0000,7109,18 Main Street,Huonville,http://www.harcourts.com.au/
Harcourts Kingborough,(03) 6229-0000,7050,7 Beach Road,Kingston Beach,http://www.harcourts.com.au/
Harcourts Northern Suburbs,(03) 6273-3500,7010,339 Main Road,Glenorchy,http://www.harcourtstasmania.com.au/Offices/191340/Harcourts-Northern-Suburbs
Harcourts Signature,(03) 6244-8111,7018,"Shop 2, 1 Bayfield Street",Rosny,http://www.harcourts.com.au
Homelands Property,(03) 6264-2266,7109,52A Main Street,Huonville,http://www.homelands.com.au/
J&S Huizing Realty Pty Ltd an agent for Tasmania Sotheby’s International Realty,(03) 6234-2400,7000,15 Hunter Street,Hobart,http://www.sothebysrealtytasmania.com
Kate Storey Realty,(03) 6253-6095,7177,153 Arthur Highway,Dunnalley,http://www.katestoreyrealty.com.au/
Knight Frank Hobart,(03) 6220-6999,7000,5 Victoria Street,Hobart,http://www.knightfranktasmania.com.au/
Kunama Real Estate,0404 845 249,7000,"Level 5, 81 Elizabeth Street",Hobart,http://www.kunama.com.au/
Lennard McLure Real Estate,(03) 6169-2555,7000,"Level 6, 11 Macquarie Street",Hobart,http://www.lennardmclure.com.au/
Link Brokerage Hobart & Command Realty,(03) 6135-4446,7000,2 / 221 Liverpool Street,Hobart,http://www.commandrealty.com.au/
Little City Group,0438 320 895,7005,18 Fitzroy Place,Sandy Bay,http://www.littlecitygroup.com.au/
L J Hooker Glenorchy,(03) 6272-8177,7010,402 Main Road,Glenorchy,http://www.ljhooker.com.au/glenorchy
L J Hooker Kingston,(03) 6229-4200,7050,16 Freeman Street,Kingston,http://www.ljhooker.com.au/kingston
L J Hooker Margate,(03) 6267-2391,7054,1727 Channel Highway,Margate,http://www.ljhooker.com.au/margate
Moane's Real Estate,(03) 6273-7437,7011,"Shop 24, 35 Main Road",Claremont,http://www.moanesnorthside.com.au/
My Property Hunter,(03) 6234-5777,7001,281 Elizabeth Street,Hobart,http://www.mypropertyhunter.com.au/
NAI Harcourts - Hobart,(03) 6234-6665,7000,"Level 2, 147 Macquarie Street",Hobart,http://www.naiharcourts.com.au/Offices/191368/NAI-Harcourts-Hobart
Nest Property - Hobart,(03) 6224-2004,7005,49 Sandy Bay Road,Sandy Bay,http://www.nestproperty.com.au
Nest Property - Huon Valley,(03) 6264-1223,7109,Shop 1 / 11 Main Street,Huonville,http://www.nestproperty.com.au
One Agency Hobart,0417 556 731,7000,3B / 30 Patrick Street,Hobart,http://www.oneagency.com.au
One Agency Sorell,(03) 6265-3315,7172,19 Gordon Street,Sorell,http://www.oneagency.com.au
Petrusma Property Glenorchy,(03) 6272-6177,7010,501 Main Road,Montrose,http://www.petrusma.com.au
